"lea_name","lea_id","state","year","homeschool_students"
"Alpena School District","0502280","AR","2017",51
"Alpena School District","0502280","AR","2018",59
"Alpena School District","0502280","AR","2019",66
"Alpena School District","0502280","AR","2020",62
"Alpena School District","0502280","AR","2021",75
"Alpena School District","0502280","AR","2022",62
"Arkadelphia School District","0502430","AR","2017",91
"Arkadelphia School District","0502430","AR","2018",79
"Arkadelphia School District","0502430","AR","2019",71
"Arkadelphia School District","0502430","AR","2020",103
"Arkadelphia School District","0502430","AR","2021",89
"Arkadelphia School District","0502430","AR","2022",87
"Armorel School District","0502550","AR","2017",19
"Armorel School District","0502550","AR","2018",19
"Armorel School District","0502550","AR","2019",18
"Armorel School District","0502550","AR","2020",23
"Armorel School District","0502550","AR","2021",17
"Armorel School District","0502550","AR","2022",17
"Ashdown School District","0502580","AR","2017",40
"Ashdown School District","0502580","AR","2018",55
"Ashdown School District","0502580","AR","2019",41
"Ashdown School District","0502580","AR","2020",41
"Ashdown School District","0502580","AR","2021",65
"Ashdown School District","0502580","AR","2022",55
"Atkins School District","0502610","AR","2017",53
"Atkins School District","0502610","AR","2018",46
"Atkins School District","0502610","AR","2019",46
"Atkins School District","0502610","AR","2020",95
"Atkins School District","0502610","AR","2021",65
"Atkins School District","0502610","AR","2022",93
"Bald Knob School District","0502700","AR","2017",67
"Bald Knob School District","0502700","AR","2018",76
"Bald Knob School District","0502700","AR","2019",85
"Bald Knob School District","0502700","AR","2020",130
"Bald Knob School District","0502700","AR","2021",144
"Bald Knob School District","0502700","AR","2022",114
"Batesville School District","0500019","AR","2017",141
"Batesville School District","0500019","AR","2018",176
"Batesville School District","0500019","AR","2019",139
"Batesville School District","0500019","AR","2020",200
"Batesville School District","0500019","AR","2021",206
"Batesville School District","0500019","AR","2022",239
"Bauxite School District","0502790","AR","2017",53
"Bauxite School District","0502790","AR","2018",68
"Bauxite School District","0502790","AR","2019",73
"Bauxite School District","0502790","AR","2020",95
"Bauxite School District","0502790","AR","2021",82
"Bauxite School District","0502790","AR","2022",80
"Bay School District","0502820","AR","2017",14
"Bay School District","0502820","AR","2018",23
"Bay School District","0502820","AR","2019",28
"Bay School District","0502820","AR","2020",32
"Bay School District","0502820","AR","2021",51
"Bay School District","0502820","AR","2022",47
"Bearden School District","0500032","AR","2017",9
"Bearden School District","0500032","AR","2018",7
"Bearden School District","0500032","AR","2019",4
"Bearden School District","0500032","AR","2020",15
"Bearden School District","0500032","AR","2021",17
"Bearden School District","0500032","AR","2022",19
"Beebe School District","0502880","AR","2017",190
"Beebe School District","0502880","AR","2018",206
"Beebe School District","0502880","AR","2019",215
"Beebe School District","0502880","AR","2020",279
"Beebe School District","0502880","AR","2021",269
"Beebe School District","0502880","AR","2022",291
"Bentonville School District","0503060","AR","2017",1021
"Bentonville School District","0503060","AR","2018",1121
"Bentonville School District","0503060","AR","2019",1056
"Bentonville School District","0503060","AR","2020",1613
"Bentonville School District","0503060","AR","2021",1532
"Bentonville School District","0503060","AR","2022",1503
"Bergman School District","0503090","AR","2017",54
"Bergman School District","0503090","AR","2018",77
"Bergman School District","0503090","AR","2019",83
"Bergman School District","0503090","AR","2020",91
"Bergman School District","0503090","AR","2021",100
"Bergman School District","0503090","AR","2022",146
"Berryville School District","0503150","AR","2017",98
"Berryville School District","0503150","AR","2018",127
"Berryville School District","0503150","AR","2019",142
"Berryville School District","0503150","AR","2020",157
"Berryville School District","0503150","AR","2021",224
"Berryville School District","0503150","AR","2022",214
"Bismarck School District","0503240","AR","2017",89
"Bismarck School District","0503240","AR","2018",80
"Bismarck School District","0503240","AR","2019",80
"Bismarck School District","0503240","AR","2020",101
"Bismarck School District","0503240","AR","2021",103
"Bismarck School District","0503240","AR","2022",112
"Blevins School District","0503300","AR","2017",23
"Blevins School District","0503300","AR","2018",21
"Blevins School District","0503300","AR","2019",19
"Blevins School District","0503300","AR","2020",21
"Blevins School District","0503300","AR","2021",24
"Blevins School District","0503300","AR","2022",27
"Blytheville School District","0503320","AR","2017",17
"Blytheville School District","0503320","AR","2018",34
"Blytheville School District","0503320","AR","2019",21
"Blytheville School District","0503320","AR","2020",28
"Blytheville School District","0503320","AR","2021",39
"Blytheville School District","0503320","AR","2022",32
"Booneville School District","0503450","AR","2017",39
"Booneville School District","0503450","AR","2018",50
"Booneville School District","0503450","AR","2019",47
"Booneville School District","0503450","AR","2020",63
"Booneville School District","0503450","AR","2021",80
"Booneville School District","0503450","AR","2022",104
