"","state","year","homeschool_students"
"1","CALIFORNIA","2017-18",26345
"2","COLORADO","2017-18",7387
"3","DELAWARE","2017-18",2864
"4","FLORIDA","2017-18",89817
"5","KANSAS","2017-18",1947
"6","KENTUCKY","2017-18",24573
"7","LOUISIANA","2017-18",21717
"8","MARYLAND","2017-18",26040
"9","MASSACHUSETTS","2017-18",7435
"10","MINNESOTA","2017-18",18988
"11","NEW YORK","2017-18",25541
"12","NORTH DAKOTA","2017-18",2808
"13","SOUTH CAROLINA","2017-18",21532
"14","SOUTH DAKOTA","2017-18",4696
"15","VIRGINIA","2017-18",43361
"16","WASHINGTON","2017-18",21022
"17","WYOMING","2017-18",2572
"18","ARKANSAS","2017-18",20331
"19","DISTRICT OF COLUMBIA","2017-18",469
"20","GEORGIA","2017-18",70414
"21","HAWAII","2017-18",2726
"22","MISSISSIPPI","2017-18",18323
"23","MONTANA","2017-18",5390
"24","NEBRASKA","2017-18",8919
"25","NEW HAMPSHIRE","2017-18",2875
"26","NEW MEXICO","2017-18",10708
"27","OHIO","2017-18",30923
"28","VERMONT","2017-18",2389
"29","WISCONSIN","2017-18",21633
"30","CALIFORNIA","2018-19",25423
"31","COLORADO","2018-19",9284
"32","DELAWARE","2018-19",2954
"33","FLORIDA","2018-19",97261
"34","KANSAS","2018-19",2143
"35","KENTUCKY","2018-19",22998
"36","LOUISIANA","2018-19",23161
"37","MARYLAND","2018-19",27732
"38","MASSACHUSETTS","2018-19",7648
"39","MINNESOTA","2018-19",19228
"40","NEW YORK","2018-19",26805
"41","NORTH DAKOTA","2018-19",2683
"42","SOUTH CAROLINA","2018-19",20752
"43","SOUTH DAKOTA","2018-19",5046
"44","VIRGINIA","2018-19",43505
"45","WASHINGTON","2018-19",21916
"46","WYOMING","2018-19",1797
"47","ARKANSAS","2018-19",21959
"48","DISTRICT OF COLUMBIA","2018-19",510
"49","GEORGIA","2018-19",75111
"50","HAWAII","2018-19",3398
"51","MISSISSIPPI","2018-19",20552
"52","MONTANA","2018-19",5743
"53","NEBRASKA","2018-19",9030
"54","NEW HAMPSHIRE","2018-19",3252
"55","NEW MEXICO","2018-19",9793
"56","OHIO","2018-19",32887
"57","VERMONT","2018-19",2578
"58","WISCONSIN","2018-19",21577
"59","CALIFORNIA","2019-20",38532
"60","COLORADO","2019-20",7880
"61","DELAWARE","2019-20",3039
"62","FLORIDA","2019-20",106115
"63","KANSAS","2019-20",2339
"64","KENTUCKY","2019-20",27072
"65","LOUISIANA","2019-20",23909
"66","MARYLAND","2019-20",27754
"67","MASSACHUSETTS","2019-20",7837
"68","MINNESOTA","2019-20",20701
"69","NEW YORK","2019-20",33013
"70","NORTH DAKOTA","2019-20",3443
"71","SOUTH CAROLINA","2019-20",20611
"72","SOUTH DAKOTA","2019-20",5342
"73","VIRGINIA","2019-20",44235
"74","WASHINGTON","2019-20",20844
"75","WYOMING","2019-20",2585
"76","ARKANSAS","2019-20",22249
"77","DISTRICT OF COLUMBIA","2019-20",389
"78","GEORGIA","2019-20",77993
"79","HAWAII","2019-20",3303
"80","MISSISSIPPI","2019-20",18828
"81","MONTANA","2019-20",5815
"82","NEBRASKA","2019-20",9452
"83","NEW HAMPSHIRE","2019-20",3348
"84","NEW MEXICO","2019-20",8811
"85","OHIO","2019-20",33328
"86","VERMONT","2019-20",2338
"87","WISCONSIN","2019-20",21644
"88","CALIFORNIA","2020-21",59275
"89","COLORADO","2020-21",15773
"90","DELAWARE","2020-21",4905
"91","FLORIDA","2020-21",143431
"92","KANSAS","2020-21",7036
"93","KENTUCKY","2020-21",35615
"94","LOUISIANA","2020-21",29052
"95","MARYLAND","2020-21",42632
"96","MASSACHUSETTS","2020-21",17207
"97","MINNESOTA","2020-21",30955
"98","NEW YORK","2020-21",52052
"99","NORTH DAKOTA","2020-21",4657
"100","SOUTH CAROLINA","2020-21",29927
"101","SOUTH DAKOTA","2020-21",6698
"102","VIRGINIA","2020-21",65571
"103","WASHINGTON","2020-21",39843
"104","WYOMING","2020-21",3884
"105","ARKANSAS","2020-21",30267
"106","DISTRICT OF COLUMBIA","2020-21",764
"107","GEORGIA","2020-21",86268
"108","HAWAII","2020-21",6232
"109","MISSISSIPPI","2020-21",30358
"110","MONTANA","2020-21",9868
"111","NEBRASKA","2020-21",14780
"112","NEW HAMPSHIRE","2020-21",6114
"113","NEW MEXICO","2020-21",15629
"114","OHIO","2020-21",51502
"115","VERMONT","2020-21",5463
"116","WISCONSIN","2020-21",31878
