"state","year","homeschool_students","Abbreviation"
"CALIFORNIA","2017-18",26345,"CA"
"COLORADO","2017-18",7387,"CO"
"DELAWARE","2017-18",2864,"DE"
"FLORIDA","2017-18",89817,"FL"
"KANSAS","2017-18",1947,"KS"
"KENTUCKY","2017-18",24573,"KY"
"LOUISIANA","2017-18",21717,"LA"
"MARYLAND","2017-18",26040,"MD"
"MASSACHUSETTS","2017-18",7435,"MA"
"MINNESOTA","2017-18",18988,"MN"
"NEW YORK","2017-18",25541,"NY"
"NORTH DAKOTA","2017-18",2808,"ND"
"SOUTH CAROLINA","2017-18",21532,"SC"
"SOUTH DAKOTA","2017-18",4696,"SD"
"VIRGINIA","2017-18",43361,"VA"
"WASHINGTON","2017-18",21022,"WA"
"WYOMING","2017-18",2572,"WY"
"ARKANSAS","2017-18",20331,"AR"
"DISTRICT OF COLUMBIA","2017-18",469,"DC"
"GEORGIA","2017-18",70414,"GA"
"HAWAII","2017-18",2726,"HI"
"MISSISSIPPI","2017-18",18323,"MS"
"MONTANA","2017-18",5390,"MT"
"NEBRASKA","2017-18",8919,"NE"
"NEW HAMPSHIRE","2017-18",2875,"NH"
"NEW MEXICO","2017-18",10708,"NM"
"OHIO","2017-18",30923,"OH"
"VERMONT","2017-18",2389,"VT"
"WISCONSIN","2017-18",21633,"WI"
"CALIFORNIA","2018-19",25423,"CA"
"COLORADO","2018-19",9284,"CO"
"DELAWARE","2018-19",2954,"DE"
"FLORIDA","2018-19",97261,"FL"
"KANSAS","2018-19",2143,"KS"
"KENTUCKY","2018-19",22998,"KY"
"LOUISIANA","2018-19",23161,"LA"
"MARYLAND","2018-19",27732,"MD"
"MASSACHUSETTS","2018-19",7648,"MA"
"MINNESOTA","2018-19",19228,"MN"
"NEW YORK","2018-19",26805,"NY"
"NORTH DAKOTA","2018-19",2683,"ND"
"SOUTH CAROLINA","2018-19",20752,"SC"
"SOUTH DAKOTA","2018-19",5046,"SD"
"VIRGINIA","2018-19",43505,"VA"
"WASHINGTON","2018-19",21916,"WA"
"WYOMING","2018-19",1797,"WY"
"ARKANSAS","2018-19",21959,"AR"
"DISTRICT OF COLUMBIA","2018-19",510,"DC"
"GEORGIA","2018-19",75111,"GA"
"HAWAII","2018-19",3398,"HI"
"MISSISSIPPI","2018-19",20552,"MS"
"MONTANA","2018-19",5743,"MT"
"NEBRASKA","2018-19",9030,"NE"
"NEW HAMPSHIRE","2018-19",3252,"NH"
"NEW MEXICO","2018-19",9793,"NM"
"OHIO","2018-19",32887,"OH"
"VERMONT","2018-19",2578,"VT"
"WISCONSIN","2018-19",21577,"WI"
"CALIFORNIA","2019-20",38532,"CA"
"COLORADO","2019-20",7880,"CO"
"DELAWARE","2019-20",3039,"DE"
"FLORIDA","2019-20",106115,"FL"
"KANSAS","2019-20",2339,"KS"
"KENTUCKY","2019-20",27072,"KY"
"LOUISIANA","2019-20",23909,"LA"
"MARYLAND","2019-20",27754,"MD"
"MASSACHUSETTS","2019-20",7837,"MA"
"MINNESOTA","2019-20",20701,"MN"
"NEW YORK","2019-20",33013,"NY"
"NORTH DAKOTA","2019-20",3443,"ND"
"SOUTH CAROLINA","2019-20",20611,"SC"
"SOUTH DAKOTA","2019-20",5342,"SD"
"VIRGINIA","2019-20",44235,"VA"
"WASHINGTON","2019-20",20844,"WA"
"WYOMING","2019-20",2585,"WY"
"ARKANSAS","2019-20",22249,"AR"
"DISTRICT OF COLUMBIA","2019-20",389,"DC"
"GEORGIA","2019-20",77993,"GA"
"HAWAII","2019-20",3303,"HI"
"MISSISSIPPI","2019-20",18828,"MS"
"MONTANA","2019-20",5815,"MT"
"NEBRASKA","2019-20",9452,"NE"
"NEW HAMPSHIRE","2019-20",3348,"NH"
"NEW MEXICO","2019-20",8811,"NM"
"OHIO","2019-20",33328,"OH"
"VERMONT","2019-20",2338,"VT"
"WISCONSIN","2019-20",21644,"WI"
"CALIFORNIA","2020-21",59275,"CA"
"COLORADO","2020-21",15773,"CO"
"DELAWARE","2020-21",4905,"DE"
"FLORIDA","2020-21",143431,"FL"
"KANSAS","2020-21",7036,"KS"
"KENTUCKY","2020-21",35615,"KY"
"LOUISIANA","2020-21",29052,"LA"
"MARYLAND","2020-21",42632,"MD"
"MASSACHUSETTS","2020-21",17207,"MA"
"MINNESOTA","2020-21",30955,"MN"
"NEW YORK","2020-21",52052,"NY"
"NORTH DAKOTA","2020-21",4657,"ND"
"SOUTH CAROLINA","2020-21",29927,"SC"
"SOUTH DAKOTA","2020-21",6698,"SD"
"VIRGINIA","2020-21",65571,"VA"
"WASHINGTON","2020-21",39843,"WA"
"WYOMING","2020-21",3884,"WY"
"ARKANSAS","2020-21",30267,"AR"
"DISTRICT OF COLUMBIA","2020-21",764,"DC"
"GEORGIA","2020-21",86268,"GA"
"HAWAII","2020-21",6232,"HI"
"MISSISSIPPI","2020-21",30358,"MS"
"MONTANA","2020-21",9868,"MT"
"NEBRASKA","2020-21",14780,"NE"
"NEW HAMPSHIRE","2020-21",6114,"NH"
"NEW MEXICO","2020-21",15629,"NM"
"OHIO","2020-21",51502,"OH"
"VERMONT","2020-21",5463,"VT"
"WISCONSIN","2020-21",31878,"WI"
"CALIFORNIA","2021-22",52623,"CA"
"COLORADO","2021-22",10502,"CO"
"DELAWARE","2021-22",4821,"DE"
"FLORIDA","2021-22",152109,"FL"
"KANSAS","2021-22",3742,"KS"
"KENTUCKY","2021-22",39544,"KY"
"LOUISIANA","2021-22",29433,"LA"
"MARYLAND","2021-22",44931,"MD"
"MASSACHUSETTS","2021-22",13150,"MA"
"MINNESOTA","2021-22",27801,"MN"
"NEW YORK","2021-22",54414,"NY"
"NORTH DAKOTA","2021-22",4247,"ND"
"SOUTH CAROLINA","2021-22",30474,"SC"
"SOUTH DAKOTA","2021-22",7414,"SD"
"VIRGINIA","2021-22",61873,"VA"
"WASHINGTON","2021-22",32056,"WA"
"WYOMING","2021-22",3475,"WY"
"ARKANSAS","2021-22",30205,"AR"
"DISTRICT OF COLUMBIA","2021-22",1126,"DC"
"GEORGIA","2021-22",91515,"GA"
"HAWAII","2021-22",5683,"HI"
"MISSISSIPPI","2021-22",24297,"MS"
"MONTANA","2021-22",7368,"MT"
"NEBRASKA","2021-22",13765,"NE"
"NEW HAMPSHIRE","2021-22",4319,"NH"
"NEW MEXICO","2021-22",11542,"NM"
"OHIO","2021-22",47491,"OH"
"VERMONT","2021-22",4166,"VT"
"WISCONSIN","2021-22",29402,"WI"
"CALIFORNIA","2022-23",46814,"CA"
"COLORADO","2022-23",8674,"CO"
"DELAWARE","2022-23",3443,"DE"
"FLORIDA","2022-23",154289,"FL"
"KANSAS","2022-23",3053,"KS"
"KENTUCKY","2022-23",38222,"KY"
"LOUISIANA","2022-23",32728,"LA"
"MARYLAND","2022-23",27527,"MD"
"MASSACHUSETTS","2022-23",11488,"MA"
"MINNESOTA","2022-23",26423,"MN"
"NEW YORK","2022-23",51858,"NY"
"NORTH DAKOTA","2022-23",3887,"ND"
"SOUTH CAROLINA","2022-23",31998,"SC"
"SOUTH DAKOTA","2022-23",9120,"SD"
"VIRGINIA","2022-23",56798,"VA"
"WASHINGTON","2022-23",28032,"WA"
"WYOMING","2022-23",3769,"WY"
"ARKANSAS","2022-23",29762,"AR"
"DISTRICT OF COLUMBIA","2022-23",977,"DC"
"GEORGIA","2022-23",77763,"GA"
"HAWAII","2022-23",4455,"HI"
"MISSISSIPPI","2022-23",21943,"MS"
"MONTANA","2022-23",7799,"MT"
"NEBRASKA","2022-23",11647,"NE"
"NEW HAMPSHIRE","2022-23",3713,"NH"
"NEW MEXICO","2022-23",10832,"NM"
"OHIO","2022-23",47468,"OH"
"VERMONT","2022-23",3503,"VT"
"WISCONSIN","2022-23",28853,"WI"
